Sp_ID,AccessionID,SE_PlantMean,CD_PlantMean,AL_PlantMean,SL_PlantMean,Pollen_Mean,Ovule_mean,SE_bin
SARC,LA0385,0,19.675,7.715,7.435,56.5,10.65,0
SARC,LA0385,0,21.29,7.64,6.85,27,19.5,0
SARC,LA2152,0.5,23.23,8.275,8.53,179,6.5,1
SARC,LA0385,0.73,20.86,6.665,7.665,184,15.5,1
SARC,LA2152,0.895,27.4,8.73,9.395,214.5,8.5,1
SARC,LA2152,1.405,20.98,6.655,8.275,100.5,9.33,1
SARC,LA0385,1.43,26.35,7.73,8.905,138.5,67.17,1
SARC,LA0441,1.46,31.06,7.965,10.11,166.5,38,1
SARC,LA0441,1.755,31.555,8.29,10.34,133,28.83,1
SARC,LA0441,1.88,30.96,9.015,11.14,125,45.5,1
SCER,LA0148,0,16.84,5.26,5.035,5,3,0
SCER,LA0148,0,17.615,5.59,5.325,22.5,9.67,0
SCER,LA0148,0,16.89,6.04,5.985,42,4,0
SCER,LA0172,0,20.665,7.245,6.68,52,69.33,0
SCER,LA0172,0,17.57,7.315,6.645,45.5,87.67,0
SCER,LA0172,0,18.175,7.18,7.1,59,50.33,0
SCER,LA0292,0,16.905,7.755,7.435,33.5,100,0
SCER,LA1228,0,19.6,8.155,7.59,68.5,49.67,0
SCER,LA1268,0,12.915,6.315,5.775,40.5,7.67,0
SCER,LA1268,0,15.54,5.515,5.105,18.5,16.5,0
SCER,LA1268,0,14.32,6.2,5.3,9.5,31.67,0
SCER,LA1286,0,18.885,6.615,6.77,30.5,33.83,0
SCER,LA1286,0,18.345,6.015,6.465,38.5,11.67,0
SCER,LA1286,0,19.52,6.075,5.665,35,na,0
SCER,LA1312,0,18.095,7.57,7.57,28.5,22,0
SCER,LA1338,0,15.78,6.23,6.18,59.5,9.33,0
SCER,LA1338,0,20.86,6.86,6.855,50,2,0
SCER,LA1338,0,19.755,7.745,7.295,58,35.5,0
SCER,LA1420,0,19.845,7.93,7.84,37.5,54.17,0
SCER,LA1425,0,18.495,6.205,6.78,15.5,8.67,0
SCER,LA1425,0,18.73,6.015,5.96,33,7.83,0
SCER,LA1464,0,19.925,6.495,5.84,35.5,1,0
SCER,LA1464,0,17.83,6.34,6.325,34,0,0
SCER,LA1464,0,20.5,5.855,5.585,50.5,14.67,0
SCER,LA1542,0,23.875,7.38,6.975,54.5,85.17,0
SCER,LA1543,0,20.03,7.135,5.945,26.5,9.67,0
SCER,LA1543,0,18.69,7.27,7.14,33,29.67,0
SCER,LA1543,0,21.265,7.21,6.39,55,1.5,0
SCER,LA2078,0,23.78,7.46,6.08,86,13.83,0
SCER,LA2078,0,24.165,7.17,6.695,35.5,9.5,0
SCER,LA2131,0,13.75,6.815,6.515,51.5,56.67,0
SCER,LA2131,0,21.16,6.99,7.635,38.5,97.5,0
SCER,LA2308,0,17.77,5.09,4.305,44.5,80.5,0
SCER,LA2308,0,15,5.475,4.955,29,na,0
SCER,LA2670,0,16.865,7.04,6.59,27.5,58.5,0
SCER,LA2670,0,13.37,6.45,5.965,20,24.17,0
SCER,LA2670,0,16.09,5.625,5.545,8,49.67,0
SCER,LA2078,0.095,18.955,7.49,7.665,52.5,23.33,1
SCER,LA2307,0.105,19.445,6.235,6.395,24.5,na,1
SCER,LA2131,0.12,22.195,7.515,7.225,55,24.17,1
SCER,LA1228,0.15,18.68,8.23,8.415,42,9.83,1
SCER,LA1542,0.15,18.445,6.955,6.84,31.5,12,1
SCER,LA1542,0.18,19.695,7.37,7.7,43.5,14.17,1
SCER,LA1420,0.19,18.715,7.215,6.945,48.5,60.83,1
SCER,LA0292,0.215,20.42,7.69,7.54,44,82.33,1
SCER,LA1425,0.23,12.435,5.85,7.015,29.5,0,1
SCER,LA1429,0.23,21.535,7.065,7.42,54,37.83,1
SCER,LA1429,0.26,21.29,7.23,8.02,61.5,78.17,1
SCER,LA2308,0.27,16,6.165,6.275,35,13.67,1
SCER,LA1312,0.305,18.73,8.03,8.985,44,7.5,1
SCER,LA1228,0.35,19.335,7.875,8.655,46,7.5,1
SCER,LA2307,0.355,17.59,5.845,5.78,37.5,56.83,1
SCER,LA1312,0.4,22.395,8.1,7.86,25.5,21.33,1
SCER,LA2123,0.4,26.505,8.14,8.715,29,99.67,1
SCER,LA1429,0.425,20.26,6.85,7.825,50.5,38.5,1
